Message_id,Movie_name,Message
p43_bolly,Ankahee.2006.DVDRip.XviD-BrG.CD2.txt," We have to win this case at any cost. Come! Case. Till yesterday the relation which I was proud about. Today it has become a case. You go, Shilpa. "
p44_bolly,Anpadh 1962.txt,I caused pain to your delicate heart. I'll compensate it. I'll teach you personally. I'll make you a worthy person that......people feel proud of you one day. Smile once......which will brighten up your Deepak's life. Just once for your Deepak. 
p45_bolly,Anpadh 1962.txt," I'll avenge my humiliation. Don't be foolish. Come to senses. If you can not make your family proud, atleast don't disgrace it. Go away from here. Murder... murder... What are you waiting for? "
p46_bolly,Antardwand - DVDRip - XviD - 1CDRip - [DDR].txt," The police are on their way. All of you get out of here, or else you will be behind bars! Mr. Sahi, it is against the pride of our village! I don't do such buffoonery like you. You people are into this racket. "
p47_bolly,Anth 1994 Hindi 480p DvDRip x264 AC3 5.1...Hon3y.txt," But bribe has shut his mouth. I agree. But what can I do all alone? I used to be proud of you. Because you were a But today I feel ashamed to call you my father. Enough, dear. I was helpless. "
p48_bolly,Anupama_1966_EN.txt," I know now for sure that you haven't recognised me. I am Aruna's friend, Shanta. - Oh yes! Shanta. Tell me, what are you so proud of? Everyone gets married.  And everyone becomes a father too. You are badly mistaken. "
p49_bolly,Anupama_1966_EN.txt," And everyone becomes a father too. You are badly mistaken. Neither have I become proud, nor am I going to be a father. Trying to hide? - Not at all. You are shooting in the dark. "
p50_bolly,Anupama_1966_EN.txt,No. - Damn you! You have truly disappointed me. - Why? I thought you will come back and make me proud. But you didn't do a thing! Come inside. 
p51_bolly,Anupama_1966_EN.txt," Yes, you'd see what a good sense of humor she has. I can't be serious like you every time. Ma, they are so rich, but not at all proud. They are very nice people. Gauri, never form an opinion about someone so soon. "
p52_bolly,Anupama_1966_EN.txt,I disgrace myself today My heart skips a beat If I begin to feel proud Why did you give me I feel flushed seeing my glowing face 
p53_bolly,Anwar (2007) - DVDRip - XviD - 5.1 AC3 - ESub [DDR].txt,I have demanded 2 crore rupees for this  temple.  Clap! So that the honour and pride of this  temple can be returned.  Clap! Brothers!  Welcome this brave boy with a round of  applause.
p54_bolly,Apaharan 2005 Hindi 720p BRRip CharmeLeon SilverRG.txt," Move. Sir, this is Professor Shastri's.. - Of course, I know him. Ηe has chosen the right field. Ηe'll make his father proud. Who else have you all kidnapped? Sir, should we make his report? "
p55_bolly,Apaharan 2005 Hindi 720p BRRip CharmeLeon SilverRG.txt,One has to pay a price for the truth. You are a true Μuslim. Αnd I've always been proud to be your wife. You can't shutter my pride. I won't let you lose. 
p56_bolly,Apaharan 2005 Hindi 720p BRRip CharmeLeon SilverRG.txt,You are a true Μuslim. Αnd I've always been proud to be your wife. You can't shutter my pride. I won't let you lose. Please don't bother about your son's life or mine. 
p57_bolly,Apaharan 2005 Hindi 720p BRRip CharmeLeon SilverRG.txt," No, I wasn't worthy of you. I look too long to understand you. I thought, one day I'd succeed and do you proud. But I kept sinking deeper into hell. It doesn't matter. I am proud of who you are. "
p58_bolly,Apaharan 2005 Hindi 720p BRRip CharmeLeon SilverRG.txt," I thought, one day I'd succeed and do you proud. But I kept sinking deeper into hell. It doesn't matter. I am proud of who you are. Αnd listen, son, don't repent. lnstead do something to atone for what you did. "
p59_bolly,Apna Desh 1972 Hindi 480p DvDRip x264 AC3 5.1...Hon3y.txt," Yes, I am a thief, a bandit, a looter. And they all are our society's ideals. They are the pride of our society, our leaders. And he's another thief. Akash's accomplice. Their group leader! "
p60_bolly,Apna Sapna Money Money - 1CD Rip - BBrG.txt," Everything in the world is under my control Don't take me to be a statue Why are you so proud about your beauty, love? A lamp has to light up and fade away Why don't you understand that? "
